time;memory_free;r_a1;r_a2
1.666.738.395.324;-2234609664;5;5
1.666.738.395.324;-2298109952;5;6
1.666.738.395.324;-2293395456;5;6
1.666.738.395.324;-2242510848;5;6
1.666.738.395.324;-2310111232;5;6
1.666.738.395.324;-2415374336;5;6
1.666.738.395.324;-2445766656;5;6
1.666.738.395.324;-2455228416;5;6
1.666.738.395.324;-2457169920;5;6
1.666.738.395.324;-2457096192;5;6
1.666.738.395.324;-2456977408;5;6
1.666.738.395.324;-2457214976;5;6
1.666.738.395.324;-2457247744;5;6
1.666.738.395.324;-2457124864;5;6
1.666.738.395.324;-2457239552;5;6
1.666.738.395.324;-2457067520;5;6
1.666.738.395.324;-2457780224;5;6
1.666.738.395.324;-2457780224;5;6
1.666.738.395.324;-2457649152;5;6
1.666.738.395.324;-2457559040;5;6
1.666.738.395.324;-2457665536;5;6
1.666.738.395.324;-2458025984;5;6
1.666.738.395.324;-2457886720;5;6
1.666.738.395.324;-2457960448;5;6
1.666.738.395.324;-2457886720;5;6
1.666.738.395.324;-2457886720;5;6
1.666.738.395.324;-2457919488;5;6
1.666.738.395.324;-2457894912;5;6
1.666.738.395.324;-2457968640;5;6
1.666.738.395.324;-2458189824;5;6
1.666.738.395.324;-2458116096;5;6
1.666.738.395.324;-2458083328;5;6
1.666.738.395.324;-2458222592;5;6
1.666.738.395.324;-2458370048;5;6
1.666.738.395.324;-2458476544;5;6
1.666.738.395.324;-2458468352;5;6
1.666.738.395.324;-2458361856;5;6
1.666.738.395.324;-2458345472;5;6
1.666.738.395.324;-2458378240;5;6
1.666.738.395.324;-2458976256;5;6
1.666.738.395.324;-2459426816;5;6
1.666.738.395.324;-2459267072;5;6
1.666.738.395.324;-2459308032;5;6
1.666.738.395.324;-2459365376;5;6
1.666.738.395.324;-2459619328;5;6
1.666.738.395.324;-2459504640;5;6
1.666.738.395.324;-2459488256;5;6
1.666.738.395.324;-2459525120;5;6
1.666.738.395.324;-2459570176;5;6
1.666.738.395.324;-2459385856;5;6
1.666.738.395.324;-2459287552;5;6
1.666.738.395.324;-2459451392;5;6
1.666.738.395.324;-2459762688;5;6
1.666.738.395.324;-2459602944;5;6
1.666.738.395.324;-2459578368;5;6
1.666.738.395.324;-2459570176;5;6
1.666.738.395.324;-2459578368;5;6
1.666.738.395.324;-2459508736;5;6
1.666.738.395.324;-2459504640;5;6
1.666.738.395.324;-2459553792;5;6
1.666.738.395.324;-2459496448;5;6
1.666.738.395.324;-2477010944;6;6
1.666.738.395.324;-2467876864;6;6
1.666.738.395.324;-2471428096;6;6
1.666.738.395.324;-2479726592;6;6
1.666.738.395.324;-2574184448;6;6
1.666.738.395.324;-2665259008;6;6
1.666.738.395.324;-2671583232;6;6
1.666.738.395.324;-2680934400;6;6
1.666.738.395.324;-2681831424;6;6
1.666.738.395.324;-2681950208;6;6
1.666.738.395.324;-2682138624;6;6
1.666.738.395.324;-2682322944;6;6
1.666.738.395.324;-2682290176;6;6
1.666.738.395.324;-2682355712;6;6
1.666.738.395.324;-2682257408;6;6
1.666.738.395.324;-2682814464;6;6
1.666.738.395.324;-2682839040;6;6
1.666.738.395.324;-2682871808;6;6
1.666.738.395.324;-2682822656;6;6
1.666.738.395.324;-2682925056;6;6
1.666.738.395.324;-2682826752;6;6
1.666.738.395.324;-2682925056;6;6
1.666.738.395.324;-2682916864;6;6
1.666.738.395.324;-2683027456;6;6
1.666.738.395.324;-2683027456;6;6
1.666.738.395.324;-2683011072;6;6
1.666.738.395.324;-2683076608;6;6
1.666.738.395.324;-2682986496;6;6
1.666.738.395.324;-2683457536;6;6
1.666.738.395.324;-2683498496;6;6
1.666.738.395.324;-2683514880;6;6
1.666.738.395.324;-2683383808;6;6
1.666.738.395.324;-2683568128;6;6
1.666.738.395.324;-2683535360;6;6
1.666.738.395.324;-2683510784;6;6
1.666.738.395.324;-2683600896;6;6
1.666.738.395.324;-2683510784;6;6
1.666.738.395.324;-2683453440;6;6
1.666.738.395.324;-2683625472;6;6
1.666.738.395.324;-2683428864;6;6
1.666.738.395.324;-2683727872;6;6
1.666.738.395.324;-2683744256;6;6
1.666.738.395.324;-2683654144;6;6
1.666.738.395.324;-2683879424;6;6
