cpu0;r_a1;r_a2
2607.67;9;9
2608.3;9;9
2609.22;9;9
2610.15;9;9
2611.19;9;9
2612.22;9;9
2613.09;9;9
2613.99;9;9
2615.08;9;9
2615.93;9;9
2616.79;9;9
2617.73;9;9
2618.6;9;9
2619.52;9;9
2620.47;9;9
2621.31;9;9
2622.15;9;9
2622.98;9;9
2623.94;9;9
2624.62;9;9
2625.52;9;9
2626.21;9;10
2627.05;9;10
2627.57;9;10
2627.59;9;10
2627.78;9;10
2627.99;9;10
2628.28;9;10
2628.59;9;10
2628.59;9;10
2628.6;9;10
2628.6;9;10
2628.6;9;10
2628.6;9;10
2628.6;9;10
2628.6;9;10
2628.6;9;10
2628.75;9;10
2629.01;9;10
2629.67;9;10
2630.37;9;10
2631.18;9;10
2631.68;9;10
2632.29;9;10
2633.1;9;10
2633.69;9;10
2633.69;9;10
2634.38;9;10
2635.06;9;10
2635.87;9;10
2636.62;9;10
2637.36;9;10
2638.08;9;10
2638.86;9;10
2639.47;9;10
2640.26;9;10
2640.95;9;10
2641.76;9;10
2642.17;9;10
2642.76;9;10
2643.44;9;10
2644.08;9;10
2644.83;9;10
2645.54;9;10
2646.31;9;10
2647.12;9;10
2647.86;9;10
2648.57;9;10
2649.07;9;10
2649.8;9;10
2650.26;9;10
2650.96;9;10
2651.6;9;10
2652.29;9;10
2652.92;9;10
2653.71;9;10
2654.47;9;10
2655.31;9;10
2655.99;9;10
2656.8;9;10
2657.42;9;10
2658.04;10;10
2658.55;10;10
2658.95;10;10
2658.96;10;10
2659.09;10;10
2659.24;10;10
2659.43;10;10
2659.63;10;10
2659.76;10;10
2659.76;10;10
2659.76;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
2659.77;10;10
